,Question,rater,Question_Reduced_Id,annotator,opinion
0,1,A3GQDJEDL2TG8,0,0,1
1,1,AK7YVYGMIF6T0,0,1,0
2,1,A3GQDJEDL2TG8,0,0,1
3,1,A3GQDJEDL2TG8,0,0,1
4,1,A10KGNQLL0AL6A,0,2,0
5,1,A1A0HB496KRF0R,0,3,1
6,1,A1A0HB496KRF0R,0,3,1
7,1,A1A0HB496KRF0R,0,3,1
8,1,A1A0HB496KRF0R,0,3,1
9,1,A1A0HB496KRF0R,0,3,1
10,1,A3VA051NB26M27,0,4,1
11,1,A3VA051NB26M27,0,4,0
12,1,ARX6AFFNF2S5F,0,5,1
13,1,A1OX4SDTSOJQCI,0,6,1
14,1,AVHF02BYOQDQP,0,7,1
15,1,AVHF02BYOQDQP,0,7,1
16,1,AVHF02BYOQDQP,0,7,0
17,1,A34PHPOQ13G1OT,0,8,1
18,1,A34PHPOQ13G1OT,0,8,1
19,1,AVHF02BYOQDQP,0,7,0
20,2,A3GQDJEDL2TG8,1,0,0
21,2,AK7YVYGMIF6T0,1,1,0
22,2,A3GQDJEDL2TG8,1,0,1
23,2,A3GQDJEDL2TG8,1,0,0
24,2,A10KGNQLL0AL6A,1,2,0
25,2,A1A0HB496KRF0R,1,3,0
26,2,A1A0HB496KRF0R,1,3,0
27,2,A1A0HB496KRF0R,1,3,0
28,2,A1A0HB496KRF0R,1,3,0
29,2,A1A0HB496KRF0R,1,3,0
30,2,A3VA051NB26M27,1,4,0
31,2,A3VA051NB26M27,1,4,0
32,2,ARX6AFFNF2S5F,1,5,0
33,2,A1OX4SDTSOJQCI,1,6,1
34,2,AVHF02BYOQDQP,1,7,1
35,2,AVHF02BYOQDQP,1,7,0
36,2,AVHF02BYOQDQP,1,7,0
37,2,A34PHPOQ13G1OT,1,8,1
38,2,A34PHPOQ13G1OT,1,8,0
39,2,AVHF02BYOQDQP,1,7,1
40,4,A3GQDJEDL2TG8,2,0,0
41,4,AK7YVYGMIF6T0,2,1,0
42,4,A3GQDJEDL2TG8,2,0,1
43,4,A3GQDJEDL2TG8,2,0,0
44,4,A10KGNQLL0AL6A,2,2,1
45,4,A1A0HB496KRF0R,2,3,0
46,4,A1A0HB496KRF0R,2,3,0
47,4,A1A0HB496KRF0R,2,3,0
48,4,A1A0HB496KRF0R,2,3,0
49,4,A1A0HB496KRF0R,2,3,0
50,4,A3VA051NB26M27,2,4,0
51,4,A3VA051NB26M27,2,4,0
52,4,ARX6AFFNF2S5F,2,5,0
53,4,A1OX4SDTSOJQCI,2,6,0
54,4,AVHF02BYOQDQP,2,7,0
55,4,AVHF02BYOQDQP,2,7,0
56,4,AVHF02BYOQDQP,2,7,0
57,4,A34PHPOQ13G1OT,2,8,1
58,4,A34PHPOQ13G1OT,2,8,0
59,4,AVHF02BYOQDQP,2,7,0
60,5,A3GQDJEDL2TG8,3,0,1
61,5,AK7YVYGMIF6T0,3,1,1
62,5,A3GQDJEDL2TG8,3,0,1
63,5,A3GQDJEDL2TG8,3,0,1
64,5,A10KGNQLL0AL6A,3,2,1
65,5,A1A0HB496KRF0R,3,3,0
66,5,A1A0HB496KRF0R,3,3,0
67,5,A1A0HB496KRF0R,3,3,0
68,5,A1A0HB496KRF0R,3,3,1
69,5,A1A0HB496KRF0R,3,3,1
70,5,A3VA051NB26M27,3,4,1
71,5,A3VA051NB26M27,3,4,1
72,5,ARX6AFFNF2S5F,3,5,0
73,5,A1OX4SDTSOJQCI,3,6,0
74,5,AVHF02BYOQDQP,3,7,0
75,5,AVHF02BYOQDQP,3,7,0
76,5,AVHF02BYOQDQP,3,7,0
77,5,A34PHPOQ13G1OT,3,8,1
78,5,A34PHPOQ13G1OT,3,8,1
79,5,AVHF02BYOQDQP,3,7,0
80,6,A3GQDJEDL2TG8,4,0,1
81,6,AK7YVYGMIF6T0,4,1,1
82,6,A3GQDJEDL2TG8,4,0,1
83,6,A3GQDJEDL2TG8,4,0,1
84,6,A10KGNQLL0AL6A,4,2,1
85,6,A1A0HB496KRF0R,4,3,0
86,6,A1A0HB496KRF0R,4,3,0
87,6,A1A0HB496KRF0R,4,3,0
88,6,A1A0HB496KRF0R,4,3,0
89,6,A1A0HB496KRF0R,4,3,0
90,6,A3VA051NB26M27,4,4,1
91,6,A3VA051NB26M27,4,4,1
92,6,ARX6AFFNF2S5F,4,5,0
93,6,A1OX4SDTSOJQCI,4,6,0
94,6,AVHF02BYOQDQP,4,7,0
95,6,AVHF02BYOQDQP,4,7,0
96,6,AVHF02BYOQDQP,4,7,0
97,6,A34PHPOQ13G1OT,4,8,1
98,6,A34PHPOQ13G1OT,4,8,1
99,6,AVHF02BYOQDQP,4,7,1
100,7,A3GQDJEDL2TG8,5,0,1
101,7,AK7YVYGMIF6T0,5,1,0
102,7,A3GQDJEDL2TG8,5,0,1
103,7,A3GQDJEDL2TG8,5,0,1
104,7,A10KGNQLL0AL6A,5,2,0
105,7,A1A0HB496KRF0R,5,3,1
106,7,A1A0HB496KRF0R,5,3,1
107,7,A1A0HB496KRF0R,5,3,1
108,7,A1A0HB496KRF0R,5,3,0
109,7,A1A0HB496KRF0R,5,3,1
110,7,A3VA051NB26M27,5,4,0
111,7,A3VA051NB26M27,5,4,0
112,7,A1OX4SDTSOJQCI,5,6,1
113,7,AVHF02BYOQDQP,5,7,1
114,7,AVHF02BYOQDQP,5,7,1
115,7,AVHF02BYOQDQP,5,7,0
116,7,A34PHPOQ13G1OT,5,8,1
117,7,A34PHPOQ13G1OT,5,8,1
118,7,AVHF02BYOQDQP,5,7,1
119,8,A3GQDJEDL2TG8,6,0,0
120,8,AK7YVYGMIF6T0,6,1,0
121,8,A3GQDJEDL2TG8,6,0,0
122,8,A3GQDJEDL2TG8,6,0,0
123,8,A10KGNQLL0AL6A,6,2,1
124,8,A1A0HB496KRF0R,6,3,0
125,8,A1A0HB496KRF0R,6,3,0
126,8,A1A0HB496KRF0R,6,3,0
127,8,A1A0HB496KRF0R,6,3,0
128,8,A1A0HB496KRF0R,6,3,0
129,8,A3VA051NB26M27,6,4,0
130,8,A3VA051NB26M27,6,4,0
131,8,ARX6AFFNF2S5F,6,5,0
132,8,AVHF02BYOQDQP,6,7,0
133,8,AVHF02BYOQDQP,6,7,0
134,8,AVHF02BYOQDQP,6,7,0
135,8,A34PHPOQ13G1OT,6,8,0
136,8,A34PHPOQ13G1OT,6,8,1
137,8,AVHF02BYOQDQP,6,7,0
138,9,A3GQDJEDL2TG8,7,0,0
139,9,AK7YVYGMIF6T0,7,1,0
140,9,A3GQDJEDL2TG8,7,0,0
141,9,A3GQDJEDL2TG8,7,0,1
142,9,A10KGNQLL0AL6A,7,2,0
143,9,A1A0HB496KRF0R,7,3,0
144,9,A1A0HB496KRF0R,7,3,0
145,9,A1A0HB496KRF0R,7,3,0
146,9,A1A0HB496KRF0R,7,3,0
147,9,A1A0HB496KRF0R,7,3,0
148,9,A3VA051NB26M27,7,4,0
149,9,A3VA051NB26M27,7,4,0
150,9,A1OX4SDTSOJQCI,7,6,1
151,9,AVHF02BYOQDQP,7,7,0
152,9,AVHF02BYOQDQP,7,7,0
153,9,AVHF02BYOQDQP,7,7,0
