,Annotator,1st_of_1st_line,2nd_of_1st_line,1st_of_2nd_line,2nd_of_2nd_line,1st_of_3rd_line,2nd_of_3rd_line
0,0,"22.652093, 88.377089 ","22.652121, 88.377154","22.652197,88.377162","22.652162,88.377197","22.647359, 88.376395","22.648986, 88.376083"
1,1,"22.652093, 88.377089 ","22.652121, 88.377154","22.652197,88.377162","22.652162,88.377197","22.643217,88.377217","22.643307, 88.377301"
2,2,"22.658942, 88.376635","22.698942, 88.386635","29.658942, 88.376635","22.698942, 88.386635","32.658942, 78.376635","32.698942, 78.386635"
3,3,"22.643446, 88.377509","22.643908, 88.376045","22.644322, 88.375740","22.644589, 88.376289","22.647359, 88.376395","22.648986, 88.376083"
4,4,"22.852889,88.753983","22.682938, 88.376666","22.652197,88.377162","22.652162,88.377197","22.643217,88.377217","22.643307, 88.377301"
5,5,"22.646879, 88.376164","22.645326, 88.375832","22.648009, 88.377078","22.647656, 88.376316","22.645764, 88.375898","22.648007, 88.376481"
6,6,"22.646133, 88.375575","22.651084, 88.376863","22.647836, 88.375876","22.646787, 88.375404","22.650688, 88.376605","22.647559, 88.376048"
7,7,"22.646720, 88.375284","22.646594, 88.377372","22.649345, 88.377159","22.645164, 88.374914","22.647366, 88.377341","22.649484, 88.376459"
8,8,"22.643822, 88.376494","22.646002, 88.376794","22.648952, 88.375973","22.643934, 88.376749","22.646578, 88.376792","22.648739, 88.376456"
9,9,"22.651499, 88.376825","22.647549, 88.376692","22.646530, 88.375575","22.650707, 88.376427","22.647601, 88.375650","22.645977, 88.376956"
10,10,"22.644588, 88.375077","22.651542, 88.376907","22.643778, 88.375990","22.643406, 88.374711","22.649712, 88.377029","22.643683, 88.376944"
11,11,"22.647155, 88.375697","22.649385, 88.376514","22.646656, 88.376403","22.649385, 88.376514","22.646656, 88.376403","22.648463, 88.377173"
